Cover_Thickness_mm,Reinforcement_Diameter_mm,Water_Cement_Ratio,Temperature_K,Relative_Humidity_pct,Chloride_Ion_Content_kgm3,Time_Years,Corrosion_Rate_uAcm2
50,20,0.4,293,80,5.8,0.35,0.353
50,20,0.4,303,80,5.8,0.35,0.35
50,20,0.4,313,80,5.8,0.35,0.475
50,20,0.4,293,80,5.8,0.35,0.145
50,20,0.4,303,80,5.8,0.35,0.275
50,20,0.4,313,80,5.8,0.35,0.37
50,20,0.4,293,80,5.8,0.35,0.353
50,20,0.4,303,80,5.8,0.35,0.35
50,20,0.4,313,80,5.8,0.35,0.475
50,20,0.4,293,80,5.8,0.35,0.257
50,20,0.4,303,80,5.8,0.35,0.26
50,20,0.4,313,80,5.8,0.35,0.369
50,20,0.4,293,80,5.8,0.35,0.1
50,20,0.4,303,80,5.8,0.35,0.135
50,20,0.4,313,80,5.8,0.35,0.154
50,20,0.4,293,80,2.77,0.35,0.303
50,20,0.4,303,80,2.77,0.35,0.24
50,20,0.4,313,80,2.77,0.35,0.225
50,20,0.4,293,80,4.28,0.35,0.327
50,20,0.4,303,80,4.28,0.35,0.286
50,20,0.4,313,80,4.28,0.35,0.326
50,20,0.4,293,80,5.8,0.35,0.353
50,20,0.4,303,80,5.8,0.35,0.35
50,20,0.4,313,80,5.8,0.35,0.475
50,20,0.4,293,80,5.8,0.35,0.175
50,20,0.4,303,80,5.8,0.35,0.235
50,20,0.4,313,80,5.8,0.35,0.338
50,20,0.4,293,80,5.8,0.35,0.346
50,20,0.4,303,80,5.8,0.35,0.43
50,20,0.4,313,80,5.8,0.35,0.36
50,25,0.4,293,80,5.8,0.35,0.371
50,25,0.4,303,80,5.8,0.35,0.476
50,25,0.4,313,80,5.8,0.35,0.425
30,20,0.4,293,80,5.8,0.35,0.346
30,20,0.4,303,80,5.8,0.35,0.43
30,20,0.4,313,80,5.8,0.35,0.36
50,20,0.4,293,80,5.8,0.35,0.37
50,20,0.4,303,80,5.8,0.35,0.38
50,20,0.4,313,80,5.8,0.35,0.407
70,20,0.4,293,80,5.8,0.35,0.365
70,20,0.4,303,80,5.8,0.35,0.423
70,20,0.4,313,80,5.8,0.35,0.553
65,20,0.45,287,75,12.25,16.0,0.23
65,20,0.45,287,75,12.25,16.0,0.124
65,20,0.45,287,75,12.25,16.0,0.139
65,20,0.45,287,75,12.25,16.0,0.087
65,20,0.45,287,75,12.25,16.0,0.096
65,20,0.45,287,75,12.25,16.0,0.048
65,20,0.45,287,75,12.25,16.0,0.21
65,20,0.45,287,75,12.25,16.0,0.061
65,20,0.45,287,75,12.25,16.0,0.088
65,20,0.45,287,75,12.25,16.0,0.127
65,20,0.45,287,75,12.25,16.0,0.25
65,20,0.45,287,75,12.25,16.0,0.191
65,20,0.45,287,75,12.25,16.0,0.047
65,20,0.45,287,75,12.25,16.0,0.21
65,20,0.45,287,75,12.25,16.0,0.043
65,20,0.45,287,75,12.25,16.0,0.064
65,20,0.45,287,75,12.25,16.0,0.078
65,20,0.45,287,75,12.25,16.0,0.076
